panel_num,time(hh:mm:ss),date(dd//mm/yy),voltage(mV),current(mA),power(mW),theta0,theta1
1,11:03:46,23/09/24,16472,339,5590,,
2,11:03:46,23/09/24,17808,353,6298,-30.00,0.00
3,11:03:46,23/09/24,18192,381,6944,,
1,11:13:43,23/09/24,17868,367,6570,,
2,11:13:43,23/09/24,17564,354,5898,-30.00,0.00
3,11:13:43,23/09/24,18192,319,5816,,
1,11:23:43,23/09/24,17960,370,6652,,
2,11:23:43,23/09/24,17712,352,6236,-30.00,0.00
3,11:23:43,23/09/24,18240,382,6980,,
1,11:33:43,23/09/24,17748,366,6502,,
2,11:33:43,23/09/24,17728,357,6168,-30.00,0.00
3,11:33:43,23/09/24,18088,379,6872,,
1,11:43:43,23/09/24,17856,368,6576,,
2,11:43:43,23/09/24,17732,356,6328,-30.00,0.00
3,11:43:43,23/09/24,18140,380,6908,,
1,11:53:43,23/09/24,17660,364,6436,,
2,11:53:43,23/09/24,17676,356,6302,-30.00,0.00
3,11:53:43,23/09/24,17988,377,6786,,
1,12:03:43,23/09/24,17680,364,6452,,
2,12:03:43,23/09/24,17684,356,6312,-30.00,0.00
3,12:03:43,23/09/24,18024,378,6820,,
1,12:13:44,23/09/24,17596,363,6390,,
2,12:13:44,23/09/24,17704,356,6288,-32.57,6.63
3,12:13:44,23/09/24,17916,375,6738,,
1,12:23:43,23/09/24,17600,363,6396,,
2,12:23:43,23/09/24,17580,354,6230,-32.56,9.10
3,12:23:43,23/09/24,17852,374,6688,,
1,12:33:43,23/09/24,17508,361,6334,,
2,12:33:43,23/09/24,17560,353,6200,-32.55,11.56
3,12:33:43,23/09/24,17728,372,6596,,
1,12:43:43,23/09/24,17704,365,6478,,
2,12:43:43,23/09/24,17532,353,6200,-30.00,30.00
3,12:43:43,23/09/24,17828,374,6672,,
1,12:53:43,23/09/24,17528,362,6350,,
2,12:53:43,23/09/24,17468,352,6158,-30.00,30.00
3,12:53:43,23/09/24,17656,370,6544,,
1,13:03:43,23/09/24,17592,364,6396,,
2,13:03:43,23/09/24,17560,354,6222,-30.00,30.00
3,13:03:43,23/09/24,17688,371,6570,,
1,13:13:43,23/09/24,17608,364,6412,,
2,13:13:43,23/09/24,17584,355,6242,-30.00,30.00
3,13:13:43,23/09/24,17636,370,6530,,
1,13:23:44,23/09/24,17580,363,6394,,
2,13:23:44,23/09/24,17396,351,6114,-32.45,23.43
3,13:23:44,23/09/24,17552,368,6466,,
1,13:33:43,23/09/24,17356,359,6236,,
2,13:33:43,23/09/24,17408,351,6122,-30.00,30.00
3,13:33:43,23/09/24,17216,361,6222,,
1,13:43:43,23/09/24,17420,360,6286,,
2,13:43:43,23/09/24,17388,351,6112,-30.00,30.00
3,13:43:43,23/09/24,17092,358,6130,,
1,13:53:43,23/09/24,17220,356,6140,,
2,13:53:43,23/09/24,17228,348,6000,-30.00,30.00
3,13:53:43,23/09/24,16784,352,5912,,
1,14:03:43,23/09/24,17292,358,6196,,
2,14:03:43,23/09/24,17184,347,5974,-30.00,30.00
3,14:03:43,23/09/24,16480,346,5702,,
1,14:13:43,23/09/24,17336,359,6226,,
2,14:13:43,23/09/24,17132,346,5940,-30.00,30.00
3,14:13:43,23/09/24,16028,336,5396,,
1,14:23:44,23/09/24,17288,358,6190,,
2,14:23:44,23/09/24,17156,346,5950,-32.20,36.16
3,14:23:44,23/09/24,15232,319,4872,,
1,14:33:43,23/09/24,17032,353,6014,,
2,14:33:43,23/09/24,16936,343,5810,-32.13,38.06
3,14:33:43,23/09/24,14404,302,4354,,
1,14:43:43,23/09/24,16936,351,5948,,
2,14:43:43,23/09/24,16788,340,5708,-30.00,60.00
3,14:43:43,23/09/24,13656,286,3916,,
1,14:53:43,23/09/24,16912,350,5928,,
2,14:53:43,23/09/24,16700,338,5646,-30.00,60.00
3,14:53:43,23/09/24,12768,267,3418,,
1,15:03:43,23/09/24,16676,345,5768,,
2,15:03:43,23/09/24,16660,337,5624,-30.00,60.00
3,15:03:43,23/09/24,11836,248,2942,,
1,15:13:43,23/09/24,16324,338,5528,,
2,15:13:43,23/09/24,16360,331,5420,-30.00,60.00
3,15:13:43,23/09/24,4916,103,508,,
1,15:23:43,23/09/24,16328,338,5524,,
2,15:23:43,23/09/24,15900,321,5116,-31.65,46.42
3,15:23:43,23/09/24,1656,34,58,,
1,15:33:43,23/09/24,16304,337,5498,,
2,15:33:43,23/09/24,16024,319,5210,-30.00,60.00
3,15:33:43,23/09/24,1480,31,46,,
1,15:43:43,23/09/24,16172,334,5404,,
2,15:43:43,23/09/24,15580,313,4890,-31.33,49.17
3,15:43:43,23/09/24,1400,29,42,,
1,15:53:41,23/09/24,15848,326,5178,,
2,15:53:41,23/09/24,15492,311,4824,0.00,60.00
3,15:53:41,23/09/24,1316,27,36,,
1,16:03:41,23/09/24,15248,314,4790,,
2,16:03:41,23/09/24,14472,291,4214,30.00,60.00
3,16:03:41,23/09/24,1328,27,36,,
1,16:13:43,23/09/24,14972,308,4618,,
2,16:13:43,23/09/24,8452,167,1412,30.00,30.00
3,16:13:43,23/09/24,1272,26,32,,
1,16:23:51,23/09/24,14348,294,4230,,
2,16:23:51,23/09/24,11128,218,2468,-60.00,90.00
3,16:23:51,23/09/24,1168,24,30,,
1,16:33:44,23/09/24,13308,273,3644,,
2,16:33:44,23/09/24,3584,66,240,0.00,30.00
3,16:33:44,23/09/24,1032,21,22,,
1,16:43:43,23/09/24,12508,256,3212,,
2,16:43:43,23/09/24,2200,44,96,0.00,30.00
3,16:43:43,23/09/24,912,19,16,,
1,16:53:43,23/09/24,11364,233,2650,,
2,16:53:43,23/09/24,1148,23,26,0.00,30.00
3,16:53:43,23/09/24,812,17,14,,
1,17:03:43,23/09/24,9776,200,1962,,
2,17:03:43,23/09/24,952,19,20,0.00,30.00
3,17:03:43,23/09/24,692,14,10,,
1,17:13:45,23/09/24,1040,21,22,,
2,17:13:45,23/09/24,744,15,10,-24.94,56.67
3,17:13:45,23/09/24,568,12,6,,
1,17:23:45,23/09/24,716,15,10,,
2,17:23:45,23/09/24,548,11,6,-21.25,56.98
3,17:23:45,23/09/24,400,8,4,,
